GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G28078","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28078",,,,,,,,"86000US28078",,,"ZCTA5 28078",100980,"ZCTA5 28078",5106
"G28079","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28079",,,,,,,,"86000US28079",,,"ZCTA5 28079",82273,"ZCTA5 28079",3304
"G28080","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28080",,,,,,,,"86000US28080",,,"ZCTA5 28080",59375,"ZCTA5 28080",12850
"G28081","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28081",,,,,,,,"86000US28081",,,"ZCTA5 28081",51339,"ZCTA5 28081",3538
"G28083","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28083",,,,,,,,"86000US28083",,,"ZCTA5 28083",48000,"ZCTA5 28083",4687
"G28086","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28086",,,,,,,,"86000US28086",,,"ZCTA5 28086",44963,"ZCTA5 28086",4109
"G28088","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28088",,,,,,,,"86000US28088",,,"ZCTA5 28088",57301,"ZCTA5 28088",21477
"G28089","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28089",,,,,,,,"86000US28089",,,"ZCTA5 28089",32750,"ZCTA5 28089",28489
"G28090","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28090",,,,,,,,"86000US28090",,,"ZCTA5 28090",36117,"ZCTA5 28090",4923
"G28091","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28091",,,,,,,,"86000US28091",,,"ZCTA5 28091",42775,"ZCTA5 28091",15908
"G28092","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28092",,,,,,,,"86000US28092",,,"ZCTA5 28092",50267,"ZCTA5 28092",1915
